Stufe;Pos.;PTp;Komponentennummer;Objektkurztext;Menge;ME;AltPos.;Grp;BGr;gültig von;BisDatum;Gleitender Preis;pro;Standardpreis
1;;;3.09838.00.0;GEHAEUSE,KOMPLETT;0;;;;0;;;;0;
2;200;D;D-818109000 PZD 000 02;TECHN.LIEFERBEDINGUNG;1;ST;;;0;25.11.2009;31.12.9999;;0;
2;300;L;3.11044.00.0;ACHSE;1;ST;;;1;04.12.2007;31.12.9999;;0;
1;;;3.09822.04.0;PUMPENGEHAEUSE;0;;;;0;;;;0;
2;200;D;D-818109000 PZD 000 02;TECHN.LIEFERBEDINGUNG;1;ST;;;0;25.11.2009;31.12.9999;;0;
1;;;3.09859.04.0;STECKERKAPPE,KOMPLETT;0;;;;0;;;;0;
2;300;L;3.09095.00.0;STECKER;1;ST;;;1;10.05.2006;31.12.9999;;0;
2;305;L;3.09095.01.0;STECKER;1;ST;;;1;10.05.2006;31.12.9999;;0;
1;;;3.09614.03.0;PT-SCHRAUBE;0;;;;0;;;;0;
2;1;T;TI=00;;1;ST;;;0;04.10.2002;31.12.9999;;1;
2;200;D;D-EJOT-WN 1461 T 2 KND 000 01;VERGÜTETE EJOT PT-K SCHRAUBEN;1;ST;;;0;04.10.2002;31.12.9999;;1;
1;;;3.09615.00.0;SCHEIBE;0;;;;0;;;;0;
2;1;T;TI=02;;1;ST;;;0;08.02.1995;31.12.9999;;1;
1;;;3.09612.00.0;SICHERUNGSSCHEIBE;0;;;;0;;;;0;
2;1;T;TI=00;;1;ST;;;0;19.11.1993;31.12.9999;;1;
1;;;3.09613.00.0;PT-SCHRAUBE;0;;;;0;;;;0;
2;1;T;TI=04;;1;ST;;;0;09.11.2001;31.12.9999;;1;
1;;;3.05545.63.0;LEISTUNGSSCHILD,BEDRUCKT;0;;;;0;;;;0;
2;300;L;3.09934.08.0;LEISTUNGSSCHILD;1;ST;;;0;08.08.2008;31.12.9999;;0;
2;305;L;3.09944.00.0;FARBBAND;3;CM;;;1;08.08.2008;31.12.9999;;0;
1;;;3.09509.00.1;SCHMIERSTOFF;0;;;;0;;;;0;
2;1;T;TI=00;;1;ST;;;0;06.10.1999;31.12.9999;;1;
2;;;3.09105.00.0;ROHRNIET;0;;;;0;;;;0;
3;1;T;TI=01;;1;ST;;;0;16.03.2000;31.12.9999;;1;
2;;;3.09500.00.0;BEFESTIGUNGSSCHELLE;0;;;;0;;;;0;
