Stufe;Pos.;PTp;Komponentennummer;Objektkurztext;Menge;ME;AltPos.;Grp;BGr;gültig von;BisDatum;Gleitender Preis;pro;Standardpreis
1;1;T;TI=03;;1;ST;;;0;06.04.2018;31.12.9999;;0;
1;200;D;D-803893000 PZD 000 03;ARBEITSANWEISUNG;1;ST;;;0;02.06.2017;31.12.9999;;0;
1;299;D;D-607765020 PZD 000 01;WASSERUMWAELZPUMPE,KOMPLETT;1;ST;;;0;06.04.2018;31.12.9999;;0;
1;300;L;5.29614.01.0;WASSERUMWAELZPUMPE,VORMONTIERT;1;ST;;;1;06.04.2018;31.12.9999;;0;
1;305;L;5.30233.00.0;HALTER,VORMONTIERT;1;ST;;;1;02.06.2017;31.12.9999;;0;
1;310;L;3.09614.03.0;PT-SCHRAUBE;3;ST;;;1;02.06.2017;31.12.9999;;0;
1;315;L;3.67975.00.0;LEISTUNGSSCHILD,BEDRUCKT;1;ST;;;1;02.06.2017;31.12.9999;;0;
1;320;L;3.46286.00.0;WELLPAPP-ZUSCHNITT;0,1;ST;;;0;02.06.2017;31.12.9999;;0;
1;325;L;9.00159.03.0;PALETTE 9804 I-FAST 1200X1000X160;0,003;ST;;;0;05.04.2018;31.12.9999;;0;
1;330;L;3.47620.00.0;GEFACHE;0,067;ST;;;0;02.06.2017;31.12.9999;;0;
1;335;L;9.00159.04.0;DECKEL 9801 I-FAST 1200X1000X50;0,003;ST;;;0;05.04.2018;31.12.9999;;0;
1;340;L;9.00159.02.1;KLT6280 I-FAST DUMMY;33,333;ST;;;1;24.02.2020;31.12.9999;;0;
1;;;5.29614.01.0;WASSERUMWAELZPUMPE,VORMONTIERT;0;;;;0;;;;0;
2;200;D;D-818144000 PZD 000 07;PRUEFVORSCHRIFT;1;ST;;;0;05.02.2018;31.12.9999;;0;
2;205;D;D-818144070 PZD 000 03;PRUEFVORSCHRIFT;1;ST;;;0;10.01.2019;31.12.9999;;0;
2;210;D;D-803123030 PZD 000 01;SCHNITTSTELLENBESCHREIBUNG;1;ST;;;0;30.08.2018;31.12.9999;;0;
2;300;L;5.12952.06.0;GEHAEUSE,KOMPLETT;1;ST;;;1;05.02.2018;31.12.9999;;0;
2;305;L;3.22760.20.0;PUMPENGEHAEUSE;1;ST;X;1;1;10.03.2020;31.12.9999;;0;
2;305;L;3.22760.24.0;PUMPENGEHAEUSE;1;ST;X;1;0;10.03.2020;31.12.9999;;0;
2;310;L;5.00490.09.0;STATOR,GEWICKELT;1;ST;;;1;05.02.2018;31.12.9999;;0;
2;315;L;5.10374.61.0;LEITERPLATTE,GEWASCHEN;1;ST;;;1;05.02.2018;31.12.9999;;0;
2;320;L;5.02097.00.0;ROTOR,KOMPLETT;1;ST;;;1;05.02.2018;31.12.9999;;0;
2;325;L;5.14726.00.0;DECKEL,KOMPLETT;1;ST;;;1;05.02.2018;31.12.9999;;0;
2;330;L;3.01334.01.0;SCHRAUBE;1;ST;;;0;05.02.2018;31.12.9999;;0;
2;335;L;3.09614.03.0;PT-SCHRAUBE;4;ST;;;1;05.02.2018;31.12.9999;;0;
2;340;L;3.09617.00.0;O-RING;1;ST;;;1;05.02.2018;31.12.9999;;0;
2;345;L;3.16849.02.0;ANLAUFSCHEIBE;1;ST;;;1;05.02.2018;31.12.9999;;0;
2;350;L;3.09509.00.1;SCHMIERSTOFF;0,03;G;;;1;23.03.2018;31.12.9999;;0;
2;355;L;3.19530.00.0;LOT;0,42;G;;;0;23.03.2018;31.12.9999;;0;
2;360;L;3.67350.00.0;SCHUTZHUELSE;2;ST;;;0;05.02.2018;31.12.9999;;0;
1;;;5.30233.00.0;HALTER,VORMONTIERT;0;;;;0;;;;0;
2;300;L;3.67637.00.0;HALTER;1;ST;;;0;30.08.2018;31.12.9999;;0;
2;305;L;3.01336.01.0;SCHWINGUNGSDAEMPFER;3;ST;;;0;02.06.2017;31.12.9999;;0;
2;310;L;3.01337.02.0;HUELSE;3;ST;;;0;02.06.2017;31.12.9999;;0;
1;;;3.09614.03.0;PT-SCHRAUBE;0;;;;0;;;;0;
2;1;T;TI=00;;1;ST;;;0;04.10.2002;31.12.9999;;1;
2;200;D;D-EJOT-WN 1461 T 2 KND 000 01;VERGÜTETE EJOT PT-K SCHRAUBEN;1;ST;;;0;04.10.2002;31.12.9999;;1;
