Stufe;Pos.;PTp;Komponentennummer;Objektkurztext;Menge;ME;AltPos.;Grp;BGr;gültig von;BisDatum;Gleitender Preis;pro;Standardpreis
1;1;T;TI=05;;1;ST;;;0;15.04.2019;31.12.9999;;0;
1;299;D;D-604284110 PZD 000 05;WASSERPUMPENMODUL;1;ST;;;0;31.07.2019;31.12.9999;;0;
1;300;L;5.15455.20.0;WASSERUMWAELZPUMPE,VORMONTIERT;1;ST;X;1;1;06.11.2018;31.12.9999;;0;
1;300;L;5.15455.28.0;WASSERUMWAELZPUMPE,VORMONTIERT;1;ST;X;1;1;06.11.2018;31.12.9999;;0;
1;305;L;5.23418.02.0;HALTER,VORMONTIERT;1;ST;X;2;1;31.07.2019;31.12.9999;;0;
1;305;L;5.23418.04.0;HALTER,VORMONTIERT;1;ST;X;2;1;31.07.2019;31.12.9999;;0;
1;310;L;3.03640.01.0;SCHRAUBE;3;ST;;;0;18.10.2016;31.12.9999;;0;
1;315;L;3.58820.00.0;BLISTER;0,167;ST;;;0;18.10.2016;31.12.9999;;0;
1;320;L;9.00283.00.0;PALETTE PSA 100X120X15;0,003;ST;;;0;26.10.2018;31.12.9999;;0;
1;325;L;9.00284.00.0;DECKEL PSA 100X120;0,003;ST;;;0;26.10.2018;31.12.9999;;0;
1;330;L;9.00158.40.0;KLT 4312 PSA ROT;0,166;ST;;;0;26.10.2018;31.12.9999;;0;
1;;;5.15455.20.0;WASSERUMWAELZPUMPE,VORMONTIERT;0;;;;0;;;;0;
2;200;D;D-818144000 PZD 000 07;PRUEFVORSCHRIFT;1;ST;;;0;18.10.2016;31.12.9999;;0;
2;205;D;D-803651000 PZD 000 00;PRUEFVORSCHRIFT;1;ST;;;0;18.10.2016;31.12.9999;;0;
2;300;L;5.15369.03.0;GEHAEUSE,KOMPLETT;1;ST;;;1;18.10.2016;31.12.9999;;0;
2;305;L;3.31343.02.0;PUMPENGEHAEUSE;1;ST;;;1;18.10.2016;31.12.9999;;0;
2;310;L;3.21293.00.0;SCHUTZHUELSE;1;ST;;;0;18.10.2016;31.12.9999;;0;
2;315;L;3.09945.06.0;SCHUTZHUELSE;2;ST;;;0;15.04.2019;31.12.9999;;0;
2;320;L;3.09617.00.0;O-RING;1;ST;;;1;18.10.2016;31.12.9999;;0;
2;325;L;3.09614.03.0;PT-SCHRAUBE;4;ST;;;1;18.10.2016;31.12.9999;;0;
2;330;L;5.14726.08.0;DECKEL,KOMPLETT;1;ST;;;1;18.10.2016;31.12.9999;;0;
1;;;5.15455.28.0;WASSERUMWAELZPUMPE,VORMONTIERT;0;;;;0;;;;0;
2;200;D;D-818144000 PZD 000 07;PRUEFVORSCHRIFT;1;ST;;;0;09.03.2018;31.12.9999;;0;
2;205;D;D-803651000 PZD 000 00;PRUEFVORSCHRIFT;1;ST;;;0;09.03.2018;31.12.9999;;0;
2;300;L;5.15369.11.0;GEHAEUSE,KOMPLETT;1;ST;;;1;09.03.2018;31.12.9999;;0;
2;305;L;3.31343.02.0;PUMPENGEHAEUSE;1;ST;;;1;09.03.2018;31.12.9999;;0;
2;310;L;3.21293.00.0;SCHUTZHUELSE;1;ST;;;0;09.03.2018;31.12.9999;;0;
2;315;L;3.09945.06.0;SCHUTZHUELSE;2;ST;;;0;15.04.2019;31.12.9999;;0;
2;320;L;3.09617.00.0;O-RING;1;ST;;;1;09.03.2018;31.12.9999;;0;
2;325;L;3.09614.03.0;PT-SCHRAUBE;4;ST;;;1;09.03.2018;31.12.9999;;0;
2;330;L;5.14726.13.0;DECKEL,KOMPLETT;1;ST;;;1;09.03.2018;31.12.9999;;0;
1;;;5.23418.02.0;HALTER,VORMONTIERT;0;;;;0;;;;0;
2;5;L;3.34413.06.0;HALTER;1;ST;;;1;02.12.2014;31.12.9999;;0;
2;10;L;3.36403.01.0;KABELHALTER;1;ST;;;0;02.12.2014;31.12.9999;;0;
1;;;5.23418.04.0;HALTER,VORMONTIERT;0;;;;0;;;;0;
2;300;L;3.34413.07.0;HALTER;1;ST;;;0;07.03.2019;31.12.9999;;0;
2;305;L;3.36403.01.0;KABELHALTER;1;ST;;;0;07.03.2019;31.12.9999;;0;
2;;;5.15369.03.0;GEHAEUSE,KOMPLETT;0;;;;0;;;;0;
3;200;D;D-818109000 PZD 000 02;TECHN.LIEFERBEDINGUNG;1;ST;;;0;24.07.2012;31.12.9999;;0;
3;205;D;D-818109010 PZD 000 03;TECHN.LIEFERBEDINGUNG;1;ST;;;0;24.07.2012;31.12.9999;;0;
3;210;D;D-801100030 PZD 000 00;TECHN.LIEFERBEDINGUNG;1;ST;;;0;24.07.2012;31.12.9999;;0;
3;215;D;D-802806000 PZD 000 04;TECHN.LIEFERBEDINGUNG;1;ST;;;0;24.08.2015;31.12.9999;;0;
3;220;D;D-803146010 KZD 000 00;TECHNISCHES DATENBLATT;1;ST;;;0;24.08.2015;31.12.9999;;0;
3;300;L;3.11044.00.0;ACHSE;1;ST;;;1;24.07.2012;31.12.9999;;0;
3;305;L;3.31370.02.0;KONTAKT;3;ST;;;0;24.07.2012;31.12.9999;;0;
2;;;3.31343.02.0;PUMPENGEHAEUSE;0;;;;0;;;;0;
3;200;D;D-818109000 PZD 000 02;TECHN.LIEFERBEDINGUNG;1;ST;;;0;30.05.2012;31.12.9999;;0;
3;205;D;D-802806000 PZD 000 03;TECHN.LIEFERBEDINGUNG;1;ST;;;0;30.05.2012;31.12.9999;;0;
2;;;3.09614.03.0;PT-SCHRAUBE;0;;;;0;;;;0;
3;1;T;TI=00;;1;ST;;;0;04.10.2002;31.12.9999;;1;
3;200;D;D-EJOT-WN 1461 T 2 KND 000 01;VERGÜTETE EJOT PT-K SCHRAUBEN;1;ST;;;0;04.10.2002;31.12.9999;;1;
