Stufe;Pos.;PTp;Komponentennummer;Objektkurztext;Menge;ME;AltPos.;Grp;BGr;gültig von;BisDatum;Gleitender Preis;pro;Standardpreis
1;1;T;TI=09;;1;ST;;;0;01.05.2015;31.12.9999;;0;
1;205;D;D-818144000 PZD 000 07;PRUEFVORSCHRIFT;1;ST;;;0;11.11.2013;31.12.9999;;0;
1;210;D;D-818144010 PZD 000 19;PRUEFVORSCHRIFT;1;ST;;;0;23.03.2017;27.01.2021;;0;
1;299;D;D-602074140 PZD 000 09;WASSERUMWAELZPUMPE;1;ST;;;0;01.05.2015;31.12.9999;;0;
1;300;L;5.02714.04.0;STATOR,KOMPLETT;1;ST;;;1;01.05.2015;31.12.9999;;0;
1;305;L;3.09809.01.0;ROTOR,KOMPLETT;1;ST;X;2;1;01.06.2007;31.12.9999;;0;
1;305;L;3.09809.02.0;ROTOR,KOMPLETT;1;ST;X;2;1;01.06.2007;31.12.9999;;0;
1;310;L;3.09838.00.0;GEHAEUSE,KOMPLETT;1;ST;X;3;1;01.10.2013;31.12.9999;;0;
1;310;L;3.09838.00.1;GEHAEUSE,KOMPLETT;1;ST;X;3;1;01.10.2013;31.12.9999;;0;
1;315;L;3.09859.04.0;STECKERKAPPE,KOMPLETT;1;ST;X;4;1;01.10.2013;31.12.9999;;0;
1;315;L;3.09859.04.1;STECKERKAPPE,KOMPLETT;1;ST;X;4;1;01.10.2013;31.12.9999;;0;
1;320;L;3.09613.00.0;PT-SCHRAUBE;1;ST;;;1;05.06.2002;31.12.9999;;1;
1;325;L;3.09615.00.0;SCHEIBE;2;ST;;;1;05.06.2002;31.12.9999;;1;
1;330;L;3.09612.00.0;SICHERUNGSSCHEIBE;1;ST;;;1;05.06.2002;31.12.9999;;1;
1;335;L;3.09614.03.0;PT-SCHRAUBE;4;ST;;;1;15.01.2004;31.12.9999;;0;
1;340;L;3.09617.00.0;O-RING;1;ST;;;1;02.01.2008;31.12.9999;;0;
1;345;L;3.09868.01.0;SCHUTZHUELSE;2;ST;;;0;01.05.2015;31.12.9999;;0;
1;350;L;3.09822.04.0;PUMPENGEHAEUSE;1;ST;X;5;1;01.10.2013;31.12.9999;;0;
1;350;L;3.09822.04.1;PUMPENGEHAEUSE;1;ST;X;5;1;01.10.2013;31.12.9999;;0;
1;355;L;3.02321.49.0;LEISTUNGSSCHILD,BEDRUCKT;1;ST;;;1;14.06.2004;31.12.9999;;0;
1;360;L;3.09509.00.1;SCHMIERSTOFF;0,03;G;;;1;05.06.2002;31.12.9999;;0;
1;365;L;3.44594.00.0;GEFACHE;0,084;ST;;;0;08.05.2018;31.12.9999;;0;
1;370;L;3.44595.00.0;ZWISCHENLAGE;0,112;ST;;;0;08.05.2018;31.12.9999;;0;
1;375;L;9.00901.02.0;VWPAL PALETTE;0,002;ST;;;0;26.10.2018;31.12.9999;;0;
1;380;L;9.00903.04.0;001210 DECKEL;0,002;ST;;;0;26.10.2018;31.12.9999;;0;
1;385;L;9.00908.13.0;6280 RL-KLT;0,027;ST;;;0;26.10.2018;31.12.9999;;0;
1;;;5.02714.04.0;STATOR,KOMPLETT;0;;;;0;;;;0;
2;300;L;5.02713.03.0;LEITERPLATTE,KOMPLETT;1;ST;;;1;08.01.2007;31.12.9999;;0;
2;305;L;5.35005.03.0;STATOR,GEWICKELT;1;ST;;;1;08.01.2007;31.12.9999;;0;
2;310;L;3.19530.00.0;LOT;0,22;G;;;0;06.04.2010;31.12.9999;;0;
1;;;3.09809.01.0;ROTOR,KOMPLETT;0;;;;0;;;;0;
2;1;T;TI=01;;1;ST;;;0;12.02.2001;31.12.9999;;1;
2;200;D;D-818107000 PZD 000 03;TECHN.LIEFERBEDINGUNG;1;ST;;;0;20.03.2018;31.12.9999;;0;
2;300;L;3.09918.01.0;GLEITLAGER;1;ST;;;1;20.07.2001;31.12.9999;;1;
1;;;3.09809.02.0;ROTOR,KOMPLETT;0;;;;0;;;;0;
2;1;T;TI=00;;1;ST;;;0;19.10.2001;31.12.9999;;1;
2;200;D;D-818107000 PZD 000 03;TECHN.LIEFERBEDINGUNG;1;ST;;;0;22.06.2017;31.12.9999;;0;
2;300;L;3.09918.01.0;GLEITLAGER;1;ST;;;1;19.10.2001;31.12.9999;;1;
1;;;3.09838.00.0;GEHAEUSE,KOMPLETT;0;;;;0;;;;0;
2;200;D;D-818109000 PZD 000 02;TECHN.LIEFERBEDINGUNG;1;ST;;;0;25.11.2009;31.12.9999;;0;
2;300;L;3.11044.00.0;ACHSE;1;ST;;;1;04.12.2007;31.12.9999;;0;
1;;;3.09859.04.0;STECKERKAPPE,KOMPLETT;0;;;;0;;;;0;
2;300;L;3.09095.00.0;STECKER;1;ST;;;1;10.05.2006;31.12.9999;;0;
2;305;L;3.09095.01.0;STECKER;1;ST;;;1;10.05.2006;31.12.9999;;0;
1;;;3.09859.04.1;STECKERKAPPE,KOMPLETT;0;;;;0;;;;0;
2;300;L;3.09095.00.0;STECKER;1;ST;;;1;23.08.2013;31.12.9999;;0;
2;305;L;3.09095.01.0;STECKER;1;ST;;;1;23.08.2013;31.12.9999;;0;
1;;;3.09613.00.0;PT-SCHRAUBE;0;;;;0;;;;0;
2;1;T;TI=04;;1;ST;;;0;09.11.2001;31.12.9999;;1;
1;;;3.09615.00.0;SCHEIBE;0;;;;0;;;;0;
2;1;T;TI=02;;1;ST;;;0;08.02.1995;31.12.9999;;1;
1;;;;;;;;;;;;;;
