Stufe;Pos.;PTp;Komponentennummer;Objektkurztext;Menge;ME;AltPos.;Grp;BGr;gültig von;BisDatum;Gleitender Preis;pro;Standardpreis
1;1;T;TI=01;;1;ST;;;0;18.10.2012;31.12.9999;;0;
1;200;D;D-818144000 PZD 000 07;PRUEFVORSCHRIFT;1;ST;;;0;11.11.2013;31.12.9999;;0;
1;205;D;D-818144010 PZD 000 19;PRUEFVORSCHRIFT;1;ST;;;0;23.03.2017;27.01.2021;;0;
1;210;D;D-801334000 KFD 000 22;WASSERUMWAELZPUMPE;1;ST;;;0;11.10.2019;31.12.9999;;0;
1;215;D;D-818144050 PZD 000 00;PRUEFVORSCHRIFT;1;ST;;;0;19.03.2015;31.12.9999;;0;
1;220;D;D-803893000 PZD 000 03;ARBEITSANWEISUNG;1;ST;;;0;26.10.2018;31.12.9999;;0;
1;299;D;D-602671310 PZD 000 04;WASSERUMWAELZPUMPE;1;ST;;;0;21.09.2015;12.04.2020;;0;
1;300;L;5.02714.05.0;STATOR,KOMPLETT;1;ST;X;1;1;22.03.2012;31.12.9999;;0;
1;300;L;5.02714.06.0;STATOR,KOMPLETT;1;ST;X;1;1;22.03.2012;31.12.9999;;0;
1;305;L;3.09809.01.0;ROTOR,KOMPLETT;1;ST;X;2;1;22.03.2012;31.12.9999;;0;
1;305;L;3.09809.02.0;ROTOR,KOMPLETT;1;ST;X;2;1;22.03.2012;31.12.9999;;0;
1;310;L;3.09838.00.0;GEHAEUSE,KOMPLETT;1;ST;;;1;22.03.2012;31.12.9999;;0;
1;315;L;5.05253.02.0;STECKERKAPPE,KOMPLETT;1;ST;;;1;22.03.2012;31.12.9999;;0;
1;320;L;3.09613.00.0;PT-SCHRAUBE;1;ST;;;1;22.03.2012;31.12.9999;;0;
1;325;L;3.09615.00.0;SCHEIBE;2;ST;;;1;22.03.2012;31.12.9999;;0;
1;330;L;3.09612.00.0;SICHERUNGSSCHEIBE;1;ST;;;1;22.03.2012;31.12.9999;;0;
1;335;L;3.09614.03.0;PT-SCHRAUBE;4;ST;;;1;22.03.2012;31.12.9999;;0;
1;340;L;3.09617.00.0;O-RING;1;ST;;;1;22.03.2012;31.12.9999;;0;
1;345;L;3.09911.01.0;SCHUTZHUELSE;2;ST;;;1;22.03.2012;31.12.9999;;0;
1;350;L;3.09822.13.0;PUMPENGEHAEUSE,KPL.;1;ST;;;1;18.10.2012;31.12.9999;;0;
1;355;L;3.32209.03.0;LEISTUNGSSCHILD,BEDRUCKT;1;ST;;;1;22.03.2012;31.12.9999;;0;
1;360;L;3.09509.00.1;SCHMIERSTOFF;0,03;G;;;1;22.03.2012;31.12.9999;;0;
1;365;L;9.00144.58.0;TIEFZIEHEINLAGE WUP WEBASTO 7.02671.XX;0,04;ST;;;0;26.10.2018;31.12.9999;;0;
1;370;L;9.00144.57.0;ZWISCHENPLATTE FÜR KLT 6417, WEBASTO;0,04;ST;;;0;26.10.2018;31.12.9999;;0;
1;375;L;9.00908.08.0;6417 C-KLT;0,04;ST;;;0;25.02.2020;31.12.9999;;0;
1;380;L;9.00903.03.0;DECKEL 1208;0,002;ST;;;0;26.10.2018;31.12.9999;;0;
1;385;L;9.00901.04.0;EURO-PALETTE;0,002;ST;;;0;26.10.2018;31.12.9999;;0;
1;;;5.02714.05.0;STATOR,KOMPLETT;0;;;;0;;;;0;
2;300;L;5.02713.02.0;LEITERPLATTE,KOMPLETT;1;ST;;;1;28.04.2009;31.12.9999;;0;
2;305;L;5.35005.04.0;STATOR,GEWICKELT;1;ST;;;1;28.04.2009;31.12.9999;;0;
2;310;L;3.19530.00.0;LOT;0,22;G;;;0;06.04.2010;31.12.9999;;0;
1;;;5.02714.06.0;STATOR,KOMPLETT;0;;;;0;;;;0;
2;300;L;5.02713.03.0;LEITERPLATTE,KOMPLETT;1;ST;;;1;11.01.2016;31.12.9999;;0;
2;305;L;5.35005.04.0;STATOR,GEWICKELT;1;ST;;;1;11.01.2016;31.12.9999;;0;
2;310;L;3.19530.00.0;LOT;0,22;G;;;0;06.04.2010;31.12.9999;;0;
1;;;3.09809.01.0;ROTOR,KOMPLETT;0;;;;0;;;;0;
2;1;T;TI=01;;1;ST;;;0;12.02.2001;31.12.9999;;1;
2;200;D;D-818107000 PZD 000 03;TECHN.LIEFERBEDINGUNG;1;ST;;;0;20.03.2018;31.12.9999;;0;
2;300;L;3.09918.01.0;GLEITLAGER;1;ST;;;1;20.07.2001;31.12.9999;;1;
1;;;3.09809.02.0;ROTOR,KOMPLETT;0;;;;0;;;;0;
2;1;T;TI=00;;1;ST;;;0;19.10.2001;31.12.9999;;1;
2;200;D;D-818107000 PZD 000 03;TECHN.LIEFERBEDINGUNG;1;ST;;;0;22.06.2017;31.12.9999;;0;
2;300;L;3.09918.01.0;GLEITLAGER;1;ST;;;1;19.10.2001;31.12.9999;;1;
1;;;3.09838.00.0;GEHAEUSE,KOMPLETT;0;;;;0;;;;0;
2;200;D;D-818109000 PZD 000 02;TECHN.LIEFERBEDINGUNG;1;ST;;;0;25.11.2009;31.12.9999;;0;
2;300;L;3.11044.00.0;ACHSE;1;ST;;;1;04.12.2007;31.12.9999;;0;
1;;;5.05253.02.0;STECKERKAPPE,KOMPLETT;0;;;;0;;;;0;
2;300;L;3.11698.00.0;KONTAKT;1;ST;;;0;05.08.2011;31.12.9999;;0;
2;305;L;3.11699.00.0;KONTAKT;1;ST;;;0;05.08.2011;31.12.9999;;0;
1;;;3.09613.00.0;PT-SCHRAUBE;0;;;;0;;;;0;
2;1;T;TI=04;;1;ST;;;0;09.11.2001;31.12.9999;;1;
1;;;3.09615.00.0;SCHEIBE;0;;;;0;;;;0;
2;1;T;TI=02;;1;ST;;;0;08.02.1995;31.12.9999;;1;
1;;;3.09612.00.0;SICHERUNGSSCHEIBE;0;;;;0;;;;0;
2;1;T;TI=00;;1;ST;;;0;19.11.1993;31.12.9999;;1;
1;;;3.09614.03.0;PT-SCHRAUBE;0;;;;0;;;;0;
2;1;T;TI=00;;1;ST;;;0;04.10.2002;31.12.9999;;1;
2;200;D;D-EJOT-WN 1461 T 2 KND 000 01;VERGÜTETE EJOT PT-K SCHRAUBEN;1;ST;;;0;04.10.2002;31.12.9999;;1;
1;;;3.09911.01.0;SCHUTZHUELSE;0;;;;0;;;;0;
2;1;T;TI=00;;1;ST;;;0;18.01.2001;31.12.9999;;1;
1;;;3.09822.13.0;PUMPENGEHAEUSE,KPL.;0;;;;0;;;;0;
2;300;L;3.09822.05.0;PUMPENGEHAEUSE;1;ST;;;0;12.06.2012;31.12.9999;;0;
1;;;3.32209.03.0;LEISTUNGSSCHILD,BEDRUCKT;0;;;;0;;;;0;
2;300;L;3.09934.05.0;LEISTUNGSSCHILD;1;ST;;;1;22.03.2012;31.12.9999;;0;
2;305;L;3.09944.00.0;FARBBAND;3;CM;;;1;22.03.2012;31.12.9999;;0;
1;;;3.09509.00.1;SCHMIERSTOFF;0;;;;0;;;;0;
2;1;T;TI=00;;1;ST;;;0;06.10.1999;31.12.9999;;1;
2;;;5.02713.02.0;LEITERPLATTE,KOMPLETT;0;;;;0;;;;0;
3;200;D;D-800720000 PZD 000 00;SCHALTPLAN;1;ST;;;0;27.07.2009;31.12.9999;;0;
3;205;D;D-818106000 PZD 000 09;PRUEFVORSCHRIFT;1;ST;;;0;19.12.2007;31.12.9999;;0;
3;300;L;3.09090.02.0;LEITERPLATTE;1;ST;;;0;16.11.2006;31.12.9999;;0;
3;305;L;3.09817.00.0;HALTER;1;ST;;;1;16.11.2006;31.12.9999;;0;
3;310;L;3.09627.01.0;BUCHSE;2;ST;;;1;16.11.2006;31.12.9999;;0;
2;;;5.35005.04.0;STATOR,GEWICKELT;0;;;;0;;;;0;
3;300;L;5.35033.01.0;STAENDERPAKET,BESCHICHTET;1;ST;;;1;15.10.2018;31.12.9999;;0;
3;305;L;5.35704.00.0;AUFNAHME,KOMPLETT;1;ST;;;1;28.04.2009;31.12.9999;;0;
3;310;L;3.00217.00.0;WICKELDRAHT;28;G;;;1;28.04.2009;31.12.9999;;0;
2;;;5.02713.03.0;LEITERPLATTE,KOMPLETT;0;;;;0;;;;0;
3;200;D;D-800720000 PZD 000 01;SCHALTPLAN;1;ST;;;0;14.05.2014;31.12.9999;;0;
3;205;D;D-818106000 PZD 000 10;PRUEFVORSCHRIFT;1;ST;;;0;17.06.2014;31.12.9999;;0;
3;210;D;D-800096040 KZD 000 00;LAYOUT;1;ST;;;0;29.01.2007;31.12.9999;;0;
3;300;L;3.09090.04.0;LEITERPLATTE;1;ST;;;0;08.01.2007;31.12.9999;;0;
3;305;L;3.09817.00.0;HALTER;1;ST;;;1;08.01.2007;31.12.9999;;0;
3;310;L;3.09627.01.0;BUCHSE;2;ST;;;1;08.01.2007;31.12.9999;;0;
2;;;5.35005.04.0;STATOR,GEWICKELT;0;;;;0;;;;0;
3;300;L;5.35033.01.0;STAENDERPAKET,BESCHICHTET;1;ST;;;1;15.10.2018;31.12.9999;;0;
3;305;L;5.35704.00.0;AUFNAHME,KOMPLETT;1;ST;;;1;28.04.2009;31.12.9999;;0;
3;310;L;3.00217.00.0;WICKELDRAHT;28;G;;;1;28.04.2009;31.12.9999;;0;
2;;;3.09918.01.0;GLEITLAGER;0;;;;0;;;;0;
3;1;T;TI=00;;1;ST;;;0;18.10.2000;31.12.9999;;1;
3;200;D;D-818108000 PZD 000 02;TECHN.LIEFERBEDINGUNG;1;ST;;;0;25.11.2009;31.12.9999;;0;
2;;;3.09918.01.0;GLEITLAGER;0;;;;0;;;;0;
3;1;T;TI=00;;1;ST;;;0;18.10.2000;31.12.9999;;1;
3;200;D;D-818108000 PZD 000 02;TECHN.LIEFERBEDINGUNG;1;ST;;;0;25.11.2009;31.12.9999;;0;
2;;;3.11044.00.0;ACHSE;0;;;;0;;;;0;
3;300;L;3.09219.00.0;ACHSE;1;ST;;;1;08.05.2007;31.12.9999;;0;
2;;;3.09934.05.0;LEISTUNGSSCHILD;0;;;;0;;;;0;
3;1;T;TI=00;;1;ST;;;0;26.07.2001;31.12.9999;;1;
2;;;3.09944.00.0;FARBBAND;0;;;;0;;;;0;
3;1;T;TI=01;;1;ST;;;0;13.07.1995;31.12.9999;;0;
3;200;Z;8.12000.00.0;UMWELTSCHUTZ;1;ST;;;0;11.05.1995;31.12.9999;;1;
3;300;L;1.48789.01.0;CARBONBAND;0,001;ST;;;0;05.11.1998;31.12.9999;;0;
