Stufe;Pos.;PTp;Komponentennummer;Objektkurztext;Menge;ME;AltPos.;Grp;BGr;gültig von;BisDatum;Gleitender Preis;pro;Standardpreis
1;200;D;D-818144000 PZD 000 07;PRUEFVORSCHRIFT;1;ST;;;0;27.03.2015;31.12.9999;;0;
1;205;D;D-818144030 PZD 000 04;PRUEFVORSCHRIFT;1;ST;;;0;01.03.2016;31.12.9999;;0;
1;300;L;5.00490.09.0;STATOR,GEWICKELT;1;ST;X;1;1;27.03.2015;31.12.9999;;0;
1;300;L;5.00490.09.2;STATOR,GEWICKELT;1;ST;X;1;1;27.03.2015;31.12.9999;;0;
1;305;L;5.10374.36.0;LEITERPLATTE,GEWASCHEN;1;ST;X;3;1;01.03.2016;31.12.9999;;0;
1;305;L;5.10374.42.0;LEITERPLATTE,GEWASCHEN;1;ST;X;3;1;01.03.2016;31.12.9999;;0;
1;310;L;5.10160.01.0;ROTOR,KOMPLETT;1;ST;;;1;27.03.2015;31.12.9999;;0;
1;315;L;5.12952.10.0;GEHAEUSE,KOMPLETT;1;ST;;;1;27.03.2015;31.12.9999;;0;
1;320;L;5.14726.08.0;DECKEL,KOMPLETT;1;ST;;;1;27.03.2015;31.12.9999;;0;
1;325;L;3.01334.01.0;SCHRAUBE;1;ST;;;0;27.03.2015;31.12.9999;;0;
1;330;L;3.16849.02.0;ANLAUFSCHEIBE;1;ST;;;1;27.03.2015;31.12.9999;;0;
1;335;L;3.09614.03.0;PT-SCHRAUBE;4;ST;;;1;27.03.2015;31.12.9999;;0;
1;340;L;3.09617.00.0;O-RING;1;ST;;;1;27.03.2015;31.12.9999;;0;
1;345;L;3.22760.03.0;PUMPENGEHAEUSE;1;ST;X;2;0;27.03.2015;31.12.9999;;0;
1;345;L;3.22760.05.0;PUMPENGEHAEUSE;1;ST;X;2;1;27.03.2015;31.12.9999;;0;
1;350;L;3.09509.00.1;SCHMIERSTOFF;0,03;G;;;1;27.03.2015;31.12.9999;;0;
1;355;L;3.09868.01.0;SCHUTZHUELSE;2;ST;;;0;27.03.2015;31.12.9999;;0;
1;360;L;3.19530.00.0;LOT;0,275;G;;;0;27.03.2015;31.12.9999;;0;
1;;;5.00490.09.0;STATOR,GEWICKELT;0;;;;0;;;;0;
2;300;L;5.00489.00.1;STATORPAKET,VERPACKT;1;ST;;;1;20.07.2012;31.12.9999;;0;
2;305;L;3.09025.00.0;KONTAKT;2;ST;;;1;15.11.2011;31.12.9999;;0;
2;310;L;3.01323.03.0;ISOLIERTEIL;1;ST;;;1;15.11.2011;31.12.9999;;0;
2;315;L;3.01324.02.0;ISOLIERTEIL;1;ST;;;0;15.11.2011;31.12.9999;;0;
2;320;L;3.13439.05.0;WICKELDRAHT;19,7;G;;;0;22.07.2019;31.12.9999;;0;
1;;;5.00490.09.2;STATOR,GEWICKELT;0;;;;0;;;;0;
2;300;L;5.00489.00.2;STATORPAKET;1;ST;;;0;26.09.2013;31.12.9999;;0;
2;305;L;3.09025.00.0;KONTAKT;2;ST;;;1;26.09.2013;31.12.9999;;0;
2;310;L;3.01323.03.0;ISOLIERTEIL;1;ST;;;1;26.09.2013;31.12.9999;;0;
2;315;L;3.01324.02.0;ISOLIERTEIL;1;ST;;;0;26.09.2013;31.12.9999;;0;
2;320;L;3.13439.05.0;WICKELDRAHT;19,7;G;;;0;22.07.2019;31.12.9999;;0;
1;;;5.10374.36.0;LEITERPLATTE,GEWASCHEN;0;;;;0;;;;0;
2;200;D;D-803099110 PZD 000 01;LASTENHEFT;1;ST;;;0;08.09.2015;31.12.9999;;0;
2;205;D;D-803100090 PZD 000 01;STUECKLISTE;1;ST;;;0;08.09.2015;31.12.9999;;0;
2;210;D;D-803102020 PZD 000 00;PRUEFVORSCHRIFT;1;ST;;;0;23.07.2014;31.12.9999;;0;
2;215;D;D-802226010 PZD 000 00;TECHN.LIEFERBEDINGUNG;1;ST;;;0;23.07.2014;31.12.9999;;0;
2;220;D;D-803103110 PZD 000 01;LAYOUTFREIGABE;1;ST;;;0;08.09.2015;31.12.9999;;0;
2;225;D;D-803111060 PZD 000 01;GERBERDATEN;1;ST;;;0;08.09.2015;31.12.9999;;0;
2;230;D;D-802476060 PZD 000 00;SOFTWARE;1;ST;;;0;08.09.2015;31.12.9999;;0;
2;235;D;D-803408030 PZD 000 00;SCHALTPLAN;1;ST;;;0;08.09.2015;31.12.9999;;0;
2;240;D;D-803458010 PZD 000 00;BESTUECKUNGSPLAN;1;ST;;;0;23.07.2014;31.12.9999;;0;
2;300;L;3.27243.07.0;LEITERPLATTE;1;ST;;;0;23.07.2014;31.12.9999;;0;
2;305;L;3.27797.03.0;SENSORAUFNAHME;1;ST;;;0;08.09.2015;31.12.9999;;0;
1;;;5.10374.42.0;LEITERPLATTE,GEWASCHEN;0;;;;0;;;;0;
2;200;D;D-802226000 PZD 000 01;TECHN.LIEFERBEDINGUNG;1;ST;;;0;01.09.2014;31.12.9999;;0;
2;205;D;D-802330000 PZD 000 02;TECHN.LIEFERBEDINGUNG;1;ST;;;0;01.09.2014;31.12.9999;;0;
2;210;D;D-802475070 PZD 000 01;SCHALTPLAN;1;ST;;;0;01.09.2014;31.12.9999;;0;
2;215;D;D-802476060 PZD 000 00;SOFTWARE;1;ST;;;0;01.09.2014;31.12.9999;;0;
2;220;D;D-803325000 KZD 000 00;LAYOUT;1;ST;;;0;01.09.2014;31.12.9999;;0;
2;225;D;D-803325010 KZD 000 00;LAYOUT;1;ST;;;0;01.09.2014;31.12.9999;;0;
2;230;D;D-803103070 PZD 000 00;LAYOUTFREIGABE;1;ST;;;0;01.09.2014;31.12.9999;;0;
2;300;L;3.27243.02.0;LEITERPLATTE;1;ST;;;0;01.09.2014;31.12.9999;;0;
2;305;L;3.27797.03.0;SENSORAUFNAHME;1;ST;;;0;01.09.2014;31.12.9999;;0;
1;;;5.10160.01.0;ROTOR,KOMPLETT;0;;;;0;;;;0;
2;200;D;D-818107030 PZD 000 00;TECHN.LIEFERBEDINGUNG;1;ST;;;0;17.03.2011;31.12.9999;;0;
2;300;L;3.30485.00.0;ROTOR;1;ST;;;0;17.03.2011;31.12.9999;;0;
2;305;L;3.30485.01.0;FLUEGELRAD;1;ST;;;0;17.03.2011;31.12.9999;;0;
1;;;5.12952.10.0;GEHAEUSE,KOMPLETT;0;;;;0;;;;0;
2;200;D;D-818109000 PZD 000 02;TECHN.LIEFERBEDINGUNG;1;ST;;;0;22.06.2012;31.12.9999;;0;
2;205;D;D-818109010 PZD 000 03;TECHN.LIEFERBEDINGUNG;1;ST;;;0;22.06.2012;31.12.9999;;0;
2;210;D;D-801100030 PZD 000 00;TECHN.LIEFERBEDINGUNG;1;ST;;;0;20.09.2012;31.12.9999;;0;
2;300;L;3.28064.02.0;KONTAKT;3;ST;;;0;22.06.2012;31.12.9999;;0;
2;305;L;3.11044.00.1;ACHSE;1;ST;;;1;01.09.2015;31.12.9999;;0;
1;;;5.14726.08.0;DECKEL,KOMPLETT;0;;;;0;;;;0;
2;200;D;D-802604000 PZD 000 02;PRUEFVORSCHRIFT;1;ST;;;0;02.03.2017;31.12.9999;;0;
2;300;L;3.28452.00.0;ABDECKPLATTE;1;ST;;;0;04.02.2014;31.12.9999;;0;
2;305;L;3.28882.01.0;DRUCKAUSGLEICHSELEMENT;1;ST;;;1;04.02.2014;31.12.9999;;0;
2;310;L;3.28443.13.0;DECKEL;1;ST;;;1;04.02.2014;31.12.9999;;0;
2;315;L;3.55810.00.0;PE-SEITENFALTENBEUTEL;0,001;ST;;;0;05.02.2018;31.12.9999;;0;
1;;;3.16849.02.0;ANLAUFSCHEIBE;0;;;;0;;;;0;
2;300;L;3.20276.00.0;STABSTAHL;1,7;G;;;0;09.06.2016;31.12.9999;;0;
1;;;3.09614.03.0;PT-SCHRAUBE;0;;;;0;;;;0;
2;1;T;TI=00;;1;ST;;;0;04.10.2002;31.12.9999;;1;
2;200;D;D-EJOT-WN 1461 T 2 KND 000 01;VERGÜTETE EJOT PT-K SCHRAUBEN;1;ST;;;0;04.10.2002;31.12.9999;;1;
1;;;3.22760.05.0;PUMPENGEHAEUSE;0;;;;0;;;;0;
2;200;D;D-818109000 PZD 000 02;TECHN.LIEFERBEDINGUNG;1;ST;;;0;26.04.2013;31.12.9999;;0;
1;;;3.09509.00.1;SCHMIERSTOFF;0;;;;0;;;;0;
2;1;T;TI=00;;1;ST;;;0;06.10.1999;31.12.9999;;1;
2;;;5.00489.00.1;STATORPAKET,VERPACKT;0;;;;0;;;;0;
3;300;L;5.00489.00.0;STAENDERPAKET;1;ST;;;1;26.02.2008;31.12.9999;;0;
2;;;3.09025.00.0;KONTAKT;0;;;;0;;;;0;
3;1;T;TI=05;;1;ST;;;0;25.08.1998;31.12.9999;;1;
3;200;Z;8.12000.00.0;UMWELTSCHUTZ;1;ST;;;0;05.09.1995;31.12.9999;;1;
2;;;3.01323.03.0;ISOLIERTEIL;0;;;;0;;;;0;
3;200;D;D-804043000 PZD 000 00;TECHN.LIEFERBEDINGUNG;1;ST;;;0;22.07.2016;31.12.9999;;0;
2;;;3.09025.00.0;KONTAKT;0;;;;0;;;;0;
3;1;T;TI=05;;1;ST;;;0;25.08.1998;31.12.9999;;1;
3;200;Z;8.12000.00.0;UMWELTSCHUTZ;1;ST;;;0;05.09.1995;31.12.9999;;1;
2;;;3.01323.03.0;ISOLIERTEIL;0;;;;0;;;;0;
3;200;D;D-804043000 PZD 000 00;TECHN.LIEFERBEDINGUNG;1;ST;;;0;22.07.2016;31.12.9999;;0;
2;;;3.11044.00.1;ACHSE;0;;;;0;;;;0;
3;300;L;3.11044.00.0;ACHSE;1;ST;;;1;29.04.2015;31.12.9999;;0;
3;305;L;3.47752.01.1;PE-FLACHBEUTEL;0,001;ST;;;1;29.04.2015;31.12.9999;;0;
2;;;3.28882.01.0;DRUCKAUSGLEICHSELEMENT;0;;;;0;;;;0;
3;300;L;3.28882.00.0;DRUCKAUSGLEICHSELEMENT;1,35;CM;;;1;02.03.2015;31.12.9999;;0;
2;;;3.28443.13.0;DECKEL;0;;;;0;;;;0;
