Stufe;Pos.;PTp;Komponentennummer;Objektkurztext;Menge;ME;AltPos.;Grp;BGr;gültig von;BisDatum;Gleitender Preis;pro;Standardpreis
1;1;T;TI=01;;1;ST;;;0;01.10.2017;31.12.9999;;0;
1;200;D;D-801334000 KFD 000 22;WASSERUMWAELZPUMPE;1;ST;;;0;11.10.2019;31.12.9999;;0;
1;210;D;D-803893000 PZD 000 03;ARBEITSANWEISUNG;1;ST;;;0;26.10.2018;31.12.9999;;0;
1;299;D;D-602671430 PZD 000 03;WASSERUMWAELZPUMPE,KOMPLETT;1;ST;;;0;14.05.2019;31.12.9999;;0;
1;300;L;5.23094.19.0;WASSERUMWAELZPUMPE,VORMONTIERT;1;ST;;;1;01.10.2017;31.12.9999;;0;
1;305;L;3.32209.99.0;LEISTUNGSSCHILD,BEDRUCKT;1;ST;;;1;28.01.2015;31.12.9999;;0;
1;310;L;3.09868.01.0;SCHUTZHUELSE;2;ST;;;0;28.01.2015;31.12.9999;;0;
1;315;L;9.00144.58.0;TIEFZIEHEINLAGE WUP WEBASTO 7.02671.XX;0,04;ST;;;0;26.10.2018;31.12.9999;;0;
1;320;L;9.00144.57.0;ZWISCHENPLATTE FÜR KLT 6417, WEBASTO;0,04;ST;;;0;26.10.2018;31.12.9999;;0;
1;325;L;9.00908.08.0;6417 C-KLT;0,04;ST;;;0;25.02.2020;31.12.9999;;0;
1;330;L;9.00903.03.0;DECKEL 1208;0,002;ST;;;0;26.10.2018;31.12.9999;;0;
1;335;L;9.00901.04.0;EURO-PALETTE;0,002;ST;;;0;26.10.2018;31.12.9999;;0;
1;;;5.23094.19.0;WASSERUMWAELZPUMPE,VORMONTIERT;0;;;;0;;;;0;
2;200;D;D-818144000 PZD 000 07;PRUEFVORSCHRIFT;1;ST;;;0;14.04.2016;31.12.9999;;0;
2;205;D;D-818144010 PZD 000 19;PRUEFVORSCHRIFT;1;ST;;;0;23.03.2017;27.01.2021;;0;
2;210;D;D-818144050 PZD 000 00;PRUEFVORSCHRIFT;1;ST;;;0;14.04.2016;31.12.9999;;0;
2;300;L;5.35028.04.0;STATOR,KOMPLETT;1;ST;;;1;14.04.2016;31.12.9999;;0;
2;305;L;3.09809.01.0;ROTOR,KOMPLETT;1;ST;X;1;1;14.04.2016;31.12.9999;;0;
2;305;L;3.09809.02.0;ROTOR,KOMPLETT;1;ST;X;1;1;14.04.2016;31.12.9999;;0;
2;310;L;3.09838.00.0;GEHAEUSE,KOMPLETT;1;ST;;;1;14.04.2016;31.12.9999;;0;
2;315;L;5.05253.02.0;STECKERKAPPE,KOMPLETT;1;ST;;;1;14.04.2016;31.12.9999;;0;
2;320;L;3.09613.00.0;PT-SCHRAUBE;1;ST;;;1;14.04.2016;31.12.9999;;0;
2;325;L;3.09615.00.0;SCHEIBE;2;ST;;;1;14.04.2016;31.12.9999;;0;
2;330;L;3.09612.00.0;SICHERUNGSSCHEIBE;1;ST;;;1;14.04.2016;31.12.9999;;0;
2;335;L;3.09614.03.0;PT-SCHRAUBE;4;ST;;;1;14.04.2016;31.12.9999;;0;
2;340;L;3.09617.00.0;O-RING;1;ST;;;1;14.04.2016;31.12.9999;;0;
2;345;L;3.09840.09.0;PUMPENGEHAEUSE;1;ST;;;1;14.04.2016;31.12.9999;;0;
2;350;L;3.09509.00.1;SCHMIERSTOFF;0,03;G;;;1;24.08.2018;31.12.9999;;0;
1;;;3.32209.99.0;LEISTUNGSSCHILD,BEDRUCKT;0;;;;0;;;;0;
2;300;L;3.09934.05.0;LEISTUNGSSCHILD;1;ST;;;1;28.01.2015;31.12.9999;;0;
2;305;L;3.09944.00.0;FARBBAND;2;CM;;;1;28.01.2015;31.12.9999;;0;
2;;;5.35028.04.0;STATOR,KOMPLETT;0;;;;0;;;;0;
3;300;L;5.35035.01.0;STATOR,GEWICKELT;1;ST;;;1;14.04.2016;31.12.9999;;0;
3;305;L;5.35729.06.0;LEITERPLATTE,KOMPLETT;1;ST;;;1;24.08.2018;31.12.9999;;0;
3;310;L;3.19530.00.0;LOT;0,33;G;;;0;24.08.2018;31.12.9999;;0;
2;;;3.09809.01.0;ROTOR,KOMPLETT;0;;;;0;;;;0;
3;1;T;TI=01;;1;ST;;;0;12.02.2001;31.12.9999;;1;
3;200;D;D-818107000 PZD 000 03;TECHN.LIEFERBEDINGUNG;1;ST;;;0;20.03.2018;31.12.9999;;0;
3;300;L;3.09918.01.0;GLEITLAGER;1;ST;;;1;20.07.2001;31.12.9999;;1;
2;;;3.09809.02.0;ROTOR,KOMPLETT;0;;;;0;;;;0;
3;1;T;TI=00;;1;ST;;;0;19.10.2001;31.12.9999;;1;
3;200;D;D-818107000 PZD 000 03;TECHN.LIEFERBEDINGUNG;1;ST;;;0;22.06.2017;31.12.9999;;0;
3;300;L;3.09918.01.0;GLEITLAGER;1;ST;;;1;19.10.2001;31.12.9999;;1;
2;;;3.09838.00.0;GEHAEUSE,KOMPLETT;0;;;;0;;;;0;
3;200;D;D-818109000 PZD 000 02;TECHN.LIEFERBEDINGUNG;1;ST;;;0;25.11.2009;31.12.9999;;0;
3;300;L;3.11044.00.0;ACHSE;1;ST;;;1;04.12.2007;31.12.9999;;0;
2;;;5.05253.02.0;STECKERKAPPE,KOMPLETT;0;;;;0;;;;0;
3;300;L;3.11698.00.0;KONTAKT;1;ST;;;0;05.08.2011;31.12.9999;;0;
3;305;L;3.11699.00.0;KONTAKT;1;ST;;;0;05.08.2011;31.12.9999;;0;
2;;;3.09613.00.0;PT-SCHRAUBE;0;;;;0;;;;0;
3;1;T;TI=04;;1;ST;;;0;09.11.2001;31.12.9999;;1;
2;;;3.09615.00.0;SCHEIBE;0;;;;0;;;;0;
3;1;T;TI=02;;1;ST;;;0;08.02.1995;31.12.9999;;1;
2;;;3.09612.00.0;SICHERUNGSSCHEIBE;0;;;;0;;;;0;
3;1;T;TI=00;;1;ST;;;0;19.11.1993;31.12.9999;;1;
2;;;3.09614.03.0;PT-SCHRAUBE;0;;;;0;;;;0;
3;1;T;TI=00;;1;ST;;;0;04.10.2002;31.12.9999;;1;
